section	category	display_name	relative_path	launcher	core
PLAY	ATARI 2600	FRISCO (EUROPE)	ROMS/A2600/Frisco (Europe).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	FROG POND (USA) (PROTO)	ROMS/A2600/Frog Pond (USA) (Proto).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	FROGGER (USA)	ROMS/A2600/Frogger (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	FROGGER II - THREEEDEEP! (USA)	ROMS/A2600/Frogger II - Threeedeep! (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	FROGS AND FLIES (USA)	ROMS/A2600/Frogs and Flies (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	FRONT LINE (USA)	ROMS/A2600/Front Line (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	FROSTBITE (USA)	ROMS/A2600/Frostbite (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	FUNKY FISH (USA) (PROTO)	ROMS/A2600/Funky Fish (USA) (Proto).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	GIGOLO (USA)	ROMS/A2600/Gigolo (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	GINGERBREAD MAN (USA) (UNL)	ROMS/A2600/Gingerbread Man (USA) (Unl).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	GLACIER PATROL (USA)	ROMS/A2600/Glacier Patrol (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	GLIB - VIDEO WORD GAME (USA)	ROMS/A2600/Glib - Video Word Game (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	GO FISH! (USA) (UNL)	ROMS/A2600/Go Fish! (USA) (Unl).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	GO GO HOME MONSTER (EUROPE)	ROMS/A2600/Go Go Home Monster (Europe).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	GOPHER (USA)	ROMS/A2600/Gopher (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	GORF (USA)	ROMS/A2600/Gorf (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	GOSUB (USA) (UNL)	ROMS/A2600/GoSub (USA) (Unl).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	GRAND PRIX (USA)	ROMS/A2600/Grand Prix (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	GRAVITAR (USA)	ROMS/A2600/Gravitar (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	GREMLINS (USA)	ROMS/A2600/Gremlins (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	GROVER'S MUSIC MAKER (USA) (PROTO)	ROMS/A2600/Grover's Music Maker (USA) (Proto).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	GUARDIAN (USA)	ROMS/A2600/Guardian (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	GUNFIGHT (USA) (UNL)	ROMS/A2600/Gunfight (USA) (Unl).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	HAUNTED HOUSE (USA)	ROMS/A2600/Haunted House (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	HOLEY MOLEY (USA) (PROTO)	ROMS/A2600/Holey Moley (USA) (Proto).a26	RETROARCH	stella2014_libretro.so
PLAY	ATOMISWAVE	ANMLBSKT	ROMS/ATOMISWAVE/anmlbskt.zip	RETROARCH	flycastvl_libretro.so
PLAY	ATOMISWAVE	DEMOFIST	ROMS/ATOMISWAVE/demofist.zip	RETROARCH	flycastvl_libretro.so
PLAY	ATOMISWAVE	DIRTYPIG	ROMS/ATOMISWAVE/dirtypig.zip	RETROARCH	flycastvl_libretro.so
PLAY	ATOMISWAVE	DOLPHIN	ROMS/ATOMISWAVE/dolphin.zip	RETROARCH	flycastvl_libretro.so
PLAY	ATOMISWAVE	FOTNS	ROMS/ATOMISWAVE/fotns.zip	RETROARCH	flycastvl_libretro.so
PLAY	ATOMISWAVE	GGISUKA	ROMS/ATOMISWAVE/ggisuka.zip	RETROARCH	flycastvl_libretro.so
PLAY	ATOMISWAVE	GGX15	ROMS/ATOMISWAVE/ggx15.zip	RETROARCH	flycastvl_libretro.so
PLAY	ATOMISWAVE	RUMBLEF	ROMS/ATOMISWAVE/rumblef.zip	RETROARCH	flycastvl_libretro.so
PLAY	ATOMISWAVE	RUMBLEF2	ROMS/ATOMISWAVE/rumblef2.zip	RETROARCH	flycastvl_libretro.so
PLAY	CAPCOM CPS I	1941	ROMS/CPS1/1941.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS I	3WONDERS	ROMS/CPS1/3wonders.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS I	CAPTCOMM	ROMS/CPS1/captcomm.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS I	CAWING	ROMS/CPS1/cawing.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS I	DINO	ROMS/CPS1/dino.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS I	DYNWARJR	ROMS/CPS1/dynwarjr.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS I	FFIGHT	ROMS/CPS1/ffight.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS I	GHOULS	ROMS/CPS1/ghouls.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS I	KNIGHTS	ROMS/CPS1/knights.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS I	KOD	ROMS/CPS1/kod.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS I	MBOMBRD	ROMS/CPS1/mbombrd.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS I	MEGAMAN	ROMS/CPS1/megaman.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS I	MERCSJ	ROMS/CPS1/mercsj.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS I	MSWORD	ROMS/CPS1/msword.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS I	MTWINS	ROMS/CPS1/mtwins.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS I	NEMO	ROMS/CPS1/nemo.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS I	PANG3	ROMS/CPS1/pang3.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS I	PNICKJ	ROMS/CPS1/pnickj.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS I	PUNISHER	ROMS/CPS1/punisher.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS I	SF2	ROMS/CPS1/sf2.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
